                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.39898,                0.23317,                0.83107,                0.96935,                0.94826,                0.97301,                0.89758,                0.39758,                0.28611,                0.86195,              0.0010612,              0.0010612,              0.0010612
                    106,                0.39796,                0.22565,                0.83122,                0.95572,                 0.9494,                0.95262,                0.88414,                0.39758,                0.32818,                0.86502,              0.0010576,              0.0010576,              0.0010576
                    107,                0.40098,                0.22959,                0.82973,                0.97235,                0.96575,                0.96809,                0.89409,                0.40724,                0.28712,                0.86814,              0.0010541,              0.0010541,              0.0010541
                    108,                  0.402,                0.22825,                0.82994,                0.97136,                0.96575,                0.97157,                 0.8988,                0.40241,                0.27674,                 0.8609,              0.0010506,              0.0010506,              0.0010506
                    109,                0.39179,                0.22355,                0.82561,                 0.9574,                0.89905,                0.94742,                0.84665,                0.46231,                0.35825,                0.85784,               0.001047,               0.001047,               0.001047
                    110,                0.40667,                0.22708,                0.82698,                 0.9019,                0.92248,                 0.9503,                0.86527,                0.42446,                  0.348,                0.83798,              0.0010435,              0.0010435,              0.0010435
                    111,                0.39761,                0.23007,                0.82262,                0.96523,                0.96003,                0.97221,                0.89804,                0.39629,                0.26687,                0.84195,                0.00104,                0.00104,                0.00104
                    112,                0.39503,                 0.2236,                0.82664,                0.96926,                0.96575,                0.97097,                0.89144,                0.40482,                0.28252,                0.84906,              0.0010364,              0.0010364,              0.0010364
                    113,                0.39435,                0.22705,                0.82806,                0.96576,                0.96575,                0.97219,                0.89362,                0.40062,                0.29491,                0.85538,              0.0010329,              0.0010329,              0.0010329
                    114,                0.40042,                0.22551,                0.82716,                0.96673,                0.96469,                0.97391,                0.89959,                0.39761,                 0.3034,                0.85361,              0.0010293,              0.0010293,              0.0010293
                    115,                 0.3917,                0.22025,                0.82775,                0.96971,                0.96408,                0.96647,                0.89423,                0.39315,                0.29348,                0.84881,              0.0010258,              0.0010258,              0.0010258
                    116,                0.39314,                 0.2189,                0.82858,                0.96975,                0.96559,                0.96313,                0.89423,                0.39566,                0.29654,                0.85018,              0.0010223,              0.0010223,              0.0010223
                    117,                0.39154,                0.22293,                 0.8282,                0.97151,                0.96575,                0.95633,                0.87021,                0.41814,                0.29655,                0.83938,              0.0010187,              0.0010187,              0.0010187
                    118,                 0.4001,                0.22409,                0.83042,                 0.9771,                0.96514,                 0.9637,                0.88718,                0.40377,                0.27684,                0.82704,              0.0010152,              0.0010152,              0.0010152
                    119,                0.39802,                0.22308,                0.82731,                0.96635,                0.96575,                 0.9723,                0.88685,                0.41209,                0.28235,                0.83512,              0.0010117,              0.0010117,              0.0010117
                    120,                0.39276,                0.22858,                0.82417,                0.96798,                0.95517,                0.96104,                0.89097,                 0.4033,                0.28315,                0.84023,              0.0010081,              0.0010081,              0.0010081
                    121,                0.39719,                0.22429,                0.82634,                0.97168,                0.96518,                0.97984,                0.91142,                0.39265,                0.27037,                 0.8318,              0.0010046,              0.0010046,              0.0010046
                    122,                 0.3944,                0.21686,                0.82944,                0.97228,                0.95211,                 0.9721,                0.89695,                0.39918,                0.27453,                0.84892,              0.0010011,              0.0010011,              0.0010011
                    123,                 0.3964,                0.22142,                0.82831,                0.97099,                0.95211,                0.96998,                0.90098,                0.39104,                0.27093,                0.83503,             0.00099751,             0.00099751,             0.00099751
                    124,                0.39345,                0.22318,                 0.8205,                0.96648,                0.96171,                 0.9718,                0.89257,                0.40942,                0.27444,                0.85667,             0.00099398,             0.00099398,             0.00099398
                    125,                 0.3857,                0.21606,                 0.8231,                0.97208,                0.96575,                0.96728,                0.89425,                0.39383,                0.27506,                0.84784,             0.00099044,             0.00099044,             0.00099044
                    126,                 0.3917,                 0.2082,                0.82246,                0.97266,                0.96575,                 0.9755,                0.90012,                0.38513,                0.24595,                0.84604,              0.0009869,              0.0009869,              0.0009869
                    127,                0.38336,                0.21201,                0.82455,                 0.9719,                0.96575,                0.96761,                0.89188,                0.39809,                0.26486,                0.84749,             0.00098337,             0.00098337,             0.00098337
                    128,                0.38677,                0.20867,                0.82629,                0.96493,                0.95733,                0.96323,                0.89044,                0.39909,                0.27051,                0.84404,             0.00097983,             0.00097983,             0.00097983
                    129,                0.39261,                0.20868,                0.82599,                0.97079,                0.95517,                0.96121,                0.88673,                0.39836,                0.28886,                0.84766,             0.00097629,             0.00097629,             0.00097629
                    130,                0.39058,                0.20781,                0.82106,                 0.9596,                0.93794,                0.96345,                0.88501,                0.40716,                0.30664,                0.84221,             0.00097276,             0.00097276,             0.00097276
                    131,                0.39293,                 0.2144,                0.82285,                0.96352,                0.95257,                0.95993,                0.87999,                0.40738,                0.31219,                 0.8475,             0.00096922,             0.00096922,             0.00096922
                    132,                0.38963,                0.20727,                0.82451,                0.96084,                0.95211,                0.96596,                0.89488,                0.38653,                0.27289,                0.85104,             0.00096568,             0.00096568,             0.00096568
                    133,                0.38805,                0.21428,                0.83072,                0.97062,                0.95246,                0.98143,                0.91576,                0.38396,                0.26116,                0.85843,             0.00096215,             0.00096215,             0.00096215
                    134,                0.38863,                0.21494,                0.82522,                0.97278,                0.96575,                0.97628,                0.90324,                0.38929,                 0.2582,                0.85942,             0.00095861,             0.00095861,             0.00095861
                    135,                0.38811,                0.21615,                0.82704,                 0.9722,                0.96421,                0.96968,                0.88855,                 0.3986,                0.26237,                0.86299,             0.00095507,             0.00095507,             0.00095507
                    136,                0.38751,                0.21559,                0.81992,                0.96421,                0.96977,                0.98835,                0.91103,                0.40008,                0.24186,                0.85611,             0.00095154,             0.00095154,             0.00095154
                    137,                0.38727,                0.21633,                0.82537,                0.98252,                0.96402,                0.97948,                0.90067,                0.41133,                 0.2596,                0.86902,               0.000948,               0.000948,               0.000948
                    138,                0.38936,                0.21363,                0.82968,                0.96781,                0.95589,                 0.9761,                0.89867,                0.40266,                0.29809,                0.86576,             0.00094446,             0.00094446,             0.00094446
                    139,                0.37962,                0.20911,                0.82576,                0.96601,                0.95466,                0.96875,                0.90062,                0.38869,                0.27282,                0.86052,             0.00094093,             0.00094093,             0.00094093
                    140,                0.38309,                 0.2167,                  0.827,                0.96847,                0.96046,                0.97834,                 0.9092,                  0.391,                0.27348,                0.85782,             0.00093739,             0.00093739,             0.00093739
                    141,                0.37741,                0.21437,                0.82407,                 0.9818,                 0.9744,                 0.9813,                0.91399,                0.38801,                0.23334,                0.85932,             0.00093385,             0.00093385,             0.00093385
                    142,                0.38025,                0.21097,                0.82254,                0.97529,                0.96865,                0.96359,                0.88681,                0.40475,                0.27535,                0.86654,             0.00093031,             0.00093031,             0.00093031
                    143,                0.39222,                0.21381,                0.82941,                0.97297,                0.96575,                0.96326,                0.89673,                0.38775,                0.26911,                0.85805,             0.00092678,             0.00092678,             0.00092678
                    144,                0.38363,                0.20879,                0.83127,                0.96861,                0.98023,                0.98241,                0.91328,                0.39052,                0.24709,                0.85929,             0.00092324,             0.00092324,             0.00092324
                    145,                0.38382,                 0.2127,                0.82359,                0.97212,                0.96737,                  0.981,                0.90877,                0.39288,                0.25757,                0.85638,              0.0009197,              0.0009197,              0.0009197
                    146,                0.38064,                 0.2142,                0.81866,                0.97076,                0.96328,                0.96681,                0.89997,                0.38802,                0.26919,                0.84848,             0.00091617,             0.00091617,             0.00091617
                    147,                0.38198,                 0.2123,                0.82182,                0.97211,                 0.9656,                0.96556,                0.89188,                0.40287,                0.27377,                 0.8538,             0.00091263,             0.00091263,             0.00091263
                    148,                0.37936,                0.20725,                0.82225,                0.97335,                0.96575,                0.97384,                0.90681,                 0.3917,                0.28101,                0.84767,             0.00090909,             0.00090909,             0.00090909
